cell	metric	cgi	trend_change	days_available	days_modified	timestamp	timespan	year	month	day
ALCALDE_MUNOZ_040017101_011	volte_traffic_er	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARCHIDONA_MERCADONA_290164701_011	pct_bcr_volte	2,1407E+14	null	null	12	2026-03-02T00:00:00.000+00:00	1	2026	3	2
AVILES_BUENAVISTA_EB_330020501_013	pct_nsa_data_bcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BEDMAR_Y_GARCIEZ_230009401_033	avg_cell_ul_throughput	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CHESTE_CHIVA_52_460171001_010	pct_volte_dcr	2,1407E+14	null	null	12	2026-03-02T00:00:00.000+00:00	1	2026	3	2
COR_PARKING_PARROTE_150250501_011	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BANOBAREZ_EB_370083401_023	pct_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BLANCA_EB_300006201_033	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
COR_PARKING_PARROTE_150250501_011	pct_nsa_data_bcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FERROL_BELEICON_150170701_023	pct_nsa_data_bcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FO_ES_MIRADOR_070037701_022	pct_bcr_volte	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FUENTE_SALADA_210012802_020	pct_bcr_volte	2,1407E+14	null	null	6	2026-03-02T00:00:00.000+00:00	1	2026	3	2
JIJONA_TURRON_EB_030015801_010	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LA_GUIJARROSA_140029301_020	pct_volte_dcr	2,1407E+14	null	null	8	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LORBE_VEIGUE_EB_150014201_032	avg_cell_dl_throughput	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
MU_CASILLAS_300070401_031	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ONTINYENT_GIL_460033302_021	pct_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ORENSE_ER_320000701_181_B3_SP	pct_volte_dcr	2,1407E+14	null	null	9	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PAJARES_LAGUNA_EB_370003201_013	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PM_COSTA_DE_CALMA_070021501_010	avg_cell_ul_throughput	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PM_POLIGON_SON_OMS_070106601_010	pct_volte_dcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PM_SANTA_EUGENIA_EB_070042301_011	pct_volte_dcr	2,1407E+14	null	null	8	2026-03-02T00:00:00.000+00:00	1	2026	3	2
POLIGONO_S_CRISTOBAL_470004801_013	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ACEBAL_EB_330013301_013	pct_bcr_volte	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ACEBAL_EB_330013301_041	pct_volte_dcr	2,1407E+14	null	null	8	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CAMBRE_DEPOSITO_150059501_031	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CARRION_EB_340000301_023	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CUBILLAS_REPSOL_EB_470004201_033	pct_volte_dcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CUMBRES_MAYORES_CT_210011301_013	pct_volte_dcr	2,1407E+14	null	null	11	2026-03-02T00:00:00.000+00:00	1	2026	3	2
EL_EJIDO_ROQUESOL_040016502_050	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LA_MAYA_EB_370002601_041	pct_volte_dcr	2,1407E+14	null	null	10	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PEDRALBA_LIRIA_EB_460031701_031	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
SC_MC_CASABLANCA_TORR_290056601_012	pct_volte_dcr	2,1407E+14	null	null	9	2026-03-02T00:00:00.000+00:00	1	2026	3	2
SC_ME_CIUTADELLA_S_AMARAD_070166001_032	pct_bcr	2,1407E+14	null	null	5	2026-03-02T00:00:00.000+00:00	1	2026	3	2
V_JESUS_CT_460001301_013	pct_bcr_volte	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARROYO_MIEL_EB_290010501_011	avg_cell_ul_throughput	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BOLLULLOS_MITACION_EB_410002801_022	pct_volte_dcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CABO_ROIG_P_DEPOR_030053702_020	pct_bcr_volte	2,1407E+14	null	null	6	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CARTAYA_NORTE_210012901_010	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CASTRILLO_RIOPISUERGA_090059601_033	pct_bcr	2,1407E+14	null	null	3	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CEREZO_400000901_043	pct_bcr	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
